,id,name,crossed,geometry,geometry_updated
109,08f28341101807430390df5c57ecdb5e,The Painted Cork,[],POINT (-122.0495128000000022 36.9559597000000011),POINT (-122.0495128000000022 36.9559597000000082)
110,08f28341101818820308dc6824cb6ba5,Frans Lanting Studio,[],POINT (-122.0501177999999953 36.9559277999999978),POINT (-122.0500871464143131 36.9559313510571670)
111,08f2834110181c6003419be06187f674,Caletti Cycles,[],POINT (-122.0500617999999946 36.9558079000000035),POINT (-122.0500617999999804 36.9558079000000035)
112,08f283411018222e0390aeedbd0020fa,Venus Research & Development,[],POINT (-122.0492299999999943 36.9561139999999995),POINT (-122.0492299999999943 36.9561139999999995)
113,08f28341101848a803c2bf22a44daa81,Levity Vans,[],POINT (-122.0495669000000021 36.9554513000000000),POINT (-122.0494621999999652 36.9553708000000043)
114,08f2834110184d8c0301f3ecfc896b83,Cabinet Town,[],POINT (-122.0493538000000058 36.9553571000000005),POINT (-122.0493538000000058 36.9553571000000005)
115,08f283411018681a035be082697e6455,Haut Surf Shop,[],POINT (-122.0487227999999931 36.9555300999999972),POINT (-122.0487155283936858 36.9554895492192728)
116,08f283411018a91303e7ce9777223d78,Venus Spirits Cocktails and Kitchen,['footway'],POINT (-122.0502050999999994 36.9566140000000019),POINT (-122.0501772339031277 36.9566168091884819)
117,08f283411018d34d03cdbf554c78a501,PlantedPlaces,"['footway', 'service', 'footway']",POINT (-122.0504399999999947 36.9563800000000029),POINT (-122.0501445500020736 36.9564097844775077)
118,08f283411018e24b030769da60bb678b,Super Original,['footway'],POINT (-122.0509076999999962 36.9570585000000023),POINT (-122.0507783964645228 36.9570720635264180)
119,08f283411019189b03fc59332e3f8ba2,John Hope Electric,[],POINT (-122.0485556000000003 36.9561258000000024),POINT (-122.0486807801132585 36.9561130227400696)
120,08f2834110193c02038276e039ff2e1a,Itek Global Trading Containers,[],POINT (-122.0479260000000039 36.9564221999999987),POINT (-122.0479260000000039 36.9564221999999987)
121,08f28341101952c4031fa26c2ffc13da,Aunt Nettie's Kitchen,[],POINT (-122.0486123000000021 36.9559763000000032),POINT (-122.0486607637291456 36.9559714961014905)
122,08f283411019534003616d11f11c97ae,Marianne's Ice Cream Plant,[],POINT (-122.0495429999999999 36.9559440000000023),POINT (-122.0495429999999857 36.9559440000000023)
123,08f283411019829a03f7149a29dfe420,Doc's Proplug,[],POINT (-122.0489436999999953 36.9571326000000013),POINT (-122.0489436999999953 36.9571326000000013)
124,08f283411019829c031c2355435bc668,Radical Movement Factory,[],POINT (-122.0491750000000053 36.9570939999999979),POINT (-122.0491749999999911 36.9570940000000050)
125,08f283411019829c03446fac19969eea,West Side Aerobics and Martial Arts,[],POINT (-122.0489598999999998 36.9571504000000033),POINT (-122.0489598999999998 36.9571503999999962)
126,08f2834110198a5a031dd3da41a6bb9e,San Soo Santa Cruz,[],POINT (-122.0493699999999961 36.9569299999999998),POINT (-122.0493699999999961 36.9569300000000069)
127,08f2834110198a5a035c44493eeaf949,Lido Pizza Club,[],POINT (-122.0493699999999961 36.9569299999999998),POINT (-122.0493699999999961 36.9569300000000069)
128,08f2834110198a5a03ca7f1f809d7e44,Santa Cruz Box Company,[],POINT (-122.0493699999999961 36.9569299999999998),POINT (-122.0493699999999961 36.9569300000000069)
129,08f2834110198a5e03cc713b704f19d0,To The Point Martial Arts,[],POINT (-122.0492529999999931 36.9569800000000015),POINT (-122.0492529999999931 36.9569800000000086)
130,08f283411019914d032720a8afa41f74,Idea Architects,[],POINT (-122.0493460999999940 36.9573432999999980),POINT (-122.0493429648208377 36.9573259672527499)
131,08f283411019b8c6030505eb4db1dd9a,Joni L Janecki and Associates,['service'],POINT (-122.0489512999999988 36.9574240999999972),POINT (-122.0489651000000180 36.9575000999999972)
